,importance,stddev,p_value,n,p99_high,p99_low
pkt_1_tcp_opt_26,0.08866666666666663,0.015143755588800743,0.0047919977905986405,3,0.17544206553780928,0.0018912677955239682
pkt_1_ipv4_ttl_2,0.05799999999999994,0.0036055512754639926,0.0006428326843443493,3,0.07866020864138373,0.037339791358616155
pkt_1_ipv4_dfbit_0,0.05733333333333327,0.003055050463303896,0.00047255799391861687,3,0.0748391112739596,0.03982755539270694
pkt_0_tcp_doff_3,0.030999999999999917,0.002645751311064593,0.001209609513476794,3,0.046160448409591555,0.015839551590408278
pkt_1_ipv4_ttl_4,0.026666666666666578,0.007371114795832,0.012267652600352778,3,0.06890397185708642,-0.015570638523753264
pkt_1_ipv4_ttl_3,0.01599999999999994,0.003999999999999948,0.0101020514433642,3,0.038920443574859145,-0.006920443574859263
pkt_2_tcp_fin_0,0.01599999999999994,0.004358898943540652,0.011928899130749482,3,0.04097697432098449,-0.008976974320984609
pkt_1_tcp_ackf_0,0.010666666666666602,0.0020816659994661968,0.006229280121306337,3,0.02259484368728372,-0.0012615103539505169
pkt_0_tcp_opt_99,0.009666666666666601,0.002309401076758441,0.009249353518750437,3,0.022899790934557008,-0.0035664576012238054
pkt_0_ipv4_dfbit_0,0.006666666666666636,0.0005773502691895942,0.0012453319461834245,3,0.009974947733639146,0.003358385599694126
pkt_1_ipv4_cksum_10,0.006333333333333302,0.002309401076758441,0.020788391309946766,3,0.01956645760122371,-0.006899790934557105
pkt_1_ipv4_ttl_5,0.005999999999999968,0.0017320508075688468,0.013335736607712069,3,0.015924843200917867,-0.00392484320091793
pkt_0_ipv4_ttl_2,0.005666666666666635,0.001527525231651936,0.011687758821787797,3,0.01441955563697973,-0.003086222303646461
pkt_0_tcp_wsize_8,0.005333333333333301,0.004932882862316188,0.10099626555694594,3,0.0335992991601107,-0.0229326324934441
pkt_1_tcp_opt_159,0.005333333333333301,0.002081665999466117,0.023606932659669008,3,0.01726151035394996,-0.00659484368728336
pkt_1_ipv4_ttl_1,0.0050000000000000044,0.0030000000000000027,0.05098674493306275,3,0.022190332681144648,-0.012190332681144639
pkt_2_tcp_cksum_11,0.0043333333333333375,0.0005773502691896263,0.002932576613782841,3,0.007641614400306031,0.0010250522663606439
pkt_1_tcp_opt_63,0.0043333333333333375,0.0005773502691896263,0.002932576613782841,3,0.007641614400306031,0.0010250522663606439
pkt_1_tcp_opt_96,0.0043333333333333,0.00450924975282284,0.11896325185564233,3,0.030171834464464566,-0.021505167797797965
pkt_2_ipv4_dfbit_0,0.0040000000000000036,0.003464101615137758,0.09175170953613696,3,0.023849686401836163,-0.015849686401836156
pkt_1_tcp_opt_24,0.00366666666666667,0.0023094010767585054,0.055351354100056226,3,0.016899790934557443,-0.009566457601224104
pkt_0_tcp_opt_160,0.0036666666666666328,0.0037859388972001223,0.11772357422869517,3,0.025360516384451935,-0.018027183051118667
pkt_0_udp_cksum_4,0.0033333333333332993,0.004041451884327333,0.14466547274064895,3,0.026491300802141862,-0.019824634135475264
pkt_0_tcp_wsize_11,0.0033333333333332993,0.004163331998932207,0.14992997899299687,3,0.027189687374566465,-0.020523020707899867
